域,模块,业务对象,操作数,apiinfo_id
员工服务,人人报销,费用申请单,15,1535443352191383552
员工服务,人人报销,出差申请单,15,1535443352208160768
员工服务,人人报销,费用移转单,11,1535443352208160769
员工服务,人人报销,费用报销单,12,1535443352208160770
员工服务,人人报销,差旅费报销单,12,1535443352208160771
员工服务,人人报销,历史借款余额,11,1535443352208160772
员工服务,人人报销,借款转移单,11,1535443352208160773
员工服务,人人报销,事由申请单,11,1535443352208160774
财务会计,总账,科目,12,1535443352208160777
财务会计,总账,账簿,12,1535443352208160778
财务会计,总账,币别,12,1535443352208160781
财务会计,总账,费用项目,15,1535443352208160782
财务会计,总账,汇率,12,1535443352208160783
财务会计,总账,结算方式,12,1535443352208160784
财务会计,总账,凭证字,12,1535443352208160785
财务会计,总账,总账账龄分析表,1,1535443352208160787
财务会计,总账,现金流量项目,11,1535443352208160789
财务会计,总账,现金流量引入,2,1535443352224937988
财务会计,总账,科目余额表,1,1535443352224937992
财务会计,总账,核算维度余额表,1,1535443352224937993
财务会计,总账,多账簿调汇历史信息表,1,1535443352224937994
财务会计,总账,现金流量表,1,1535443352224937995
财务会计,总账,现金流量查询,1,1535443352224937996
财务会计,总账,日报表,1,1535443352224937997
财务会计,总账,总分类账,1,1535443352224937998
财务会计,总账,多账簿核算维度明细表,1,1535443352224937999
财务会计,总账,多账簿现金流量表,1,1535443352224938000
财务会计,总账,多账簿日报表,1,1535443352224938001
财务会计,总账,数量金额总账,1,1535443352224938002
财务会计,总账,调汇历史信息表,1,1535443352224938003
财务会计,总账,摘要汇总表,1,1535443352224938004
财务会计,总账,试算平衡表,1,1535443352224938005
财务会计,总账,凭证,10,1535443352224938008
财务会计,总账,自定义API,6,1146606755440744448
财务会计,智能会计平台,凭证生成情况查询,1,1535443352241715211
财务会计,智能会计平台,业务凭证,5,1535443352241715212
财务会计,智能会计平台,凭证生成,4,1535443352241715213
财务会计,智能会计平台,单据合并方案,12,1535443352241715214
财务会计,智能会计平台,分录类型,11,1535443352241715215
财务会计,智能会计平台,凭证模板,8,1535443352241715216
财务会计,智能会计平台,凭证自动生成方案,8,1535443352241715219
财务会计,智能会计平台,自动对账方案,14,1535443352241715220
财务会计,智能会计平台,业务报表对账结果查询,1,1535443352241715222
财务会计,智能会计平台,业务报表对账方案,8,1535443352258492416
财务会计,智能会计平台,业务单据对账结果查询,1,1535443352258492417
财务会计,智能会计平台,业务单据对账方案,5,1535443352258492418
财务会计,智能会计平台,业务单据对账,1,1535443352258492420
财务会计,智能会计平台,凭证模板查询,1,1535443352258492422
财务会计,应收款管理,应收期末调汇单,5,1535443352258492426
财务会计,应收款管理,应收调汇单,5,1535443352258492427
财务会计,应收款管理,应收款账龄分析表,1,1535443352258492428
财务会计,应收款管理,坏账准备计提单,10,1535443352258492429
财务会计,应收款管理,计提坏账准备,1,1535443352258492430
财务会计,应收款管理,坏账损失单,2,1535443352258492431
财务会计,应收款管理,坏账收回单,2,1535443352258492432
财务会计,应收款管理,应收开票核销方案,12,1535443352258492433
财务会计,应收款管理,应收开票定时核销方案,12,1535443352258492434
财务会计,应收款管理,往来对账明细表,1,1535443352258492435
财务会计,应收款管理,内部应收清理单,2,1535443352258492436
财务会计,应收款管理,应收未开票明细表,1,1535443352258492437
财务会计,应收款管理,应收核销单,2,1535443352258492438
财务会计,应收款管理,应收收款核销方案,12,1535443352275269632
财务会计,应收款管理,到期债权表,1,1535443352275269633
财务会计,应收款管理,其他应收单,11,1535443352275269634
财务会计,应收款管理,已出库未应收明细表,1,1535443352275269635
财务会计,应收款管理,应收款明细表,1,1535443352275269636
财务会计,应收款管理,应收单,13,1535443352275269637
财务会计,应收款管理,应收单开票核销明细表,1,1535443352275269638
财务会计,应收款管理,应收款汇总表,1,1535443352275269639
财务会计,应收款管理,应收收款定时核销方案,12,1535443352275269640
财务会计,应收款管理,应收单跟踪表,1,1535443352275269641
财务会计,应付款管理,应付期末调汇单,5,1535443352275269643
财务会计,应付款管理,应付调汇单,5,1535443352275269644
财务会计,应付款管理,应付款账龄分析表,1,1535443352275269645
财务会计,应付款管理,应付开票核销方案,12,1535443352275269647
财务会计,应付款管理,应付开票定时核销方案,12,1535443352275269648
财务会计,应付款管理,往来对账明细表,1,1535443352275269649
财务会计,应付款管理,内部应付清理单,2,1535443352275269650
财务会计,应付款管理,应付未开票明细表,1,1535443352275269651
财务会计,应付款管理,价格维护表,10,1535443352275269652
财务会计,应付款管理,应付核销单,2,1535443352275269653
财务会计,应付款管理,应付付款核销方案,12,1535443352275269654
财务会计,应付款管理,到期债务表,1,1535443352275269655
财务会计,应付款管理,其他应付单,11,1535443352275269656
财务会计,应付款管理,应付单,11,1535443352292046848
财务会计,应付款管理,应付单开票核销明细表,1,1535443352292046849
财务会计,应付款管理,应付款明细表,1,1535443352292046850
财务会计,应付款管理,应付款汇总表,1,1535443352292046851
财务会计,应付款管理,应付付款定时核销方案,12,1535443352292046852
财务会计,应付款管理,应付单跟踪表,1,1535443352292046853
财务会计,出纳管理,付款单,15,1535443352292046855
财务会计,出纳管理,付款退款单,12,1535443352292046856
财务会计,出纳管理,收款单,12,1535443352292046857
财务会计,出纳管理,收款退款单,13,1535443352292046858
财务会计,出纳管理,银行账户变更单,13,1535443352292046859
财务会计,出纳管理,余额调节表,1,1535443352292046860
财务会计,出纳管理,银行存款期初,10,1535443352292046861
财务会计,出纳管理,银行对账单,11,1535443352292046862
财务会计,出纳管理,银行存款日报表,1,1535443352292046863
财务会计,出纳管理,银行存款流水账,1,1535443352292046864
财务会计,出纳管理,银行存款日记账,1,1535443352292046865
财务会计,出纳管理,银行对账导入方案,12,1535443352292046866
财务会计,出纳管理,银行转账单,13,1535443352292046867
财务会计,出纳管理,应付票据,15,1535443352292046868
财务会计,出纳管理,应付票据结算单,8,1535443352292046869
财务会计,出纳管理,应收票据,13,1535443352292046870
财务会计,出纳管理,应收票据执行明细,1,1535443352292046871
财务会计,出纳管理,应收票据使用流水,1,1535443352292046872
财务会计,出纳管理,应收票据结算单,8,1535443352308824064
财务会计,出纳管理,应收票据收发存明细表,1,1535443352308824065
财务会计,出纳管理,银行存款勾对记录,4,1535443352308824066
财务会计,出纳管理,银行账户销户单,13,1535443352308824067
财务会计,出纳管理,现金存取单,12,1535443352308824068
财务会计,出纳管理,现金期初,10,1535443352308824069
财务会计,出纳管理,现金日报表,1,1535443352308824071
财务会计,出纳管理,现金流水账,1,1535443352308824072
财务会计,出纳管理,现金购汇单,12,1535443352308824073
财务会计,出纳管理,现金日记账,1,1535443352308824074
财务会计,出纳管理,现金转账单,12,1535443352308824075
财务会计,出纳管理,支票管理,13,1535443352308824076
财务会计,出纳管理,支票购置,14,1535443352308824077
财务会计,出纳管理,贴现申请单,12,1535443352308824078
财务会计,出纳管理,出纳期末对账,1,1535443352308824079
财务会计,出纳管理,资金头寸表,1,1535443352308824080
财务会计,出纳管理,资金调拨还款统计表,1,1535443352308824081
财务会计,出纳管理,内部账户调整单,13,1535443352308824082
财务会计,出纳管理,内部账户账龄分析表,1,1535443352308824083
财务会计,出纳管理,收付内部账户期初,10,1535443352308824084
财务会计,出纳管理,银行存款智能对账报告,5,1535443352308824085
财务会计,出纳管理,手工日记账,12,1535443352308824086
财务会计,出纳管理,开户申请单,13,1535443352325601280
财务会计,出纳管理,付款申请单,15,1535443352325601281
财务会计,出纳管理,应付票据余额明细表,1,1535443352325601282
财务会计,出纳管理,支付信息变更单,10,1535443352325601283
财务会计,出纳管理,电子回单匹配依据设置,9,1535443352325601285
财务会计,出纳管理,应收票据余额表,1,1535443352325601286
财务会计,出纳管理,收付款用途,12,1535443352325601287
财务会计,出纳管理,资金调拨单,12,1535443352325601289
财务会计,资金管理,自动上划设置,12,1535443352325601291
财务会计,资金管理,基准利率,14,1535443352325601292
财务会计,资金管理,借款利息单,11,1535443352325601293
财务会计,资金管理,信贷单,12,1535443352325601294
财务会计,资金管理,资金请款单,12,1535443352325601295
财务会计,资金管理,资金下拨单,11,1535443352325601296
财务会计,资金管理,资金上划单,12,1535443352325601297
财务会计,资金管理,资金内部账户期初,10,1535443352325601298
财务会计,资金管理,内部利息单,10,1535443352325601299
财务会计,资金管理,计息对象,12,1535443352325601300
财务会计,资金管理,内部利息统计表,1,1535443352325601301
财务会计,资金管理,联动支付单,13,1535443352325601302
财务会计,资金管理,付款结算单,15,1535443352342378496
财务会计,资金管理,结息方案,14,1535443352342378497
财务会计,资金管理,收款结算单,12,1535443352342378498
财务会计,网上银行,代理行账号,12,1535443352342378500
财务会计,网上银行,电子回单补打申请单,10,1535443352342378501
财务会计,网上银行,电子票据自动签收设置,14,1535443352342378502
财务会计,网上银行,银行账户余额查询,1,1535443352342378503
财务会计,网上银行,银行网点,12,1535443352342378504
财务会计,网上银行,银企互联设置,7,1535443352342378505
财务会计,网上银行,银行付款单,11,1535443352342378506
财务会计,网上银行,人民币交易种类,12,1535443352342378507
财务会计,网上银行,银行账户交易明细查询,1,1535443352342378508
财务会计,网上银行,电子票据贴现单,10,1535443352342378509
财务会计,网上银行,电子对账单,12,1535443352342378510
财务会计,网上银行,电子票据背书单,12,1535443352342378511
财务会计,网上银行,电子票据开票单,16,1535443352342378512
